# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,device,daily_avg_rating,total_avg_rating
20140124,HTC HTC One X (endeavoru),0.0,5.0
20140124,HTC HTC Butterfly (dlxub1),0.0,5.0
20140124,Sony Ericsson LT18i (LT18i),0.0,5.0
20140124,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140124,C1904,0.0,5.0
20140123,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140123,Samsung Galaxy Note II (t03g),0.0,5.0
20140123,Google Nexus 4 (mako),0.0,5.0
20140123,HTC HTC One (m7),0.0,5.0
20140123,Samsung Galaxy S3 (m0),0.0,5.0
20140123,Samsung Galaxy S4 (ja3g),0.0,5.0
20140123,HTC HTC One X (endeavoru),0.0,5.0
20140123,HTC HTC Butterfly (dlxub1),0.0,5.0
20140123,Sony Ericsson LT18i (LT18i),0.0,5.0
20140123,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140123,C1904,0.0,5.0
20140122,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140122,Samsung Galaxy Note II (t03g),0.0,5.0
20140122,Google Nexus 4 (mako),0.0,5.0
20140122,HTC HTC One (m7),0.0,5.0
20140122,Samsung Galaxy S3 (m0),0.0,5.0
20140122,Samsung Galaxy S4 (ja3g),0.0,5.0
20140122,HTC HTC One X (endeavoru),0.0,5.0
20140122,HTC HTC Butterfly (dlxub1),0.0,5.0
20140122,Sony Ericsson LT18i (LT18i),0.0,5.0
20140122,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140122,C1904,0.0,5.0
20140121,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140121,Samsung Galaxy Note II (t03g),5.0,5.0
20140121,Google Nexus 4 (mako),0.0,5.0
20140121,HTC HTC One (m7),0.0,5.0
20140121,Samsung Galaxy S3 (m0),0.0,5.0
20140121,Samsung Galaxy S4 (ja3g),0.0,5.0
20140121,HTC HTC One X (endeavoru),0.0,5.0
20140121,HTC HTC Butterfly (dlxub1),5.0,5.0
20140121,Sony Ericsson LT18i (LT18i),0.0,5.0
20140121,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140121,C1904,0.0,5.0
20140120,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140120,Google Nexus 4 (mako),0.0,5.0
20140120,HTC HTC One (m7),0.0,5.0
20140120,Samsung Galaxy S3 (m0),0.0,5.0
20140120,Samsung Galaxy S4 (ja3g),0.0,5.0
20140120,HTC HTC One X (endeavoru),0.0,5.0
20140120,Sony Ericsson LT18i (LT18i),0.0,5.0
20140120,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140120,C1904,0.0,5.0
20140119,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140119,Google Nexus 4 (mako),0.0,5.0
20140119,HTC HTC One (m7),0.0,5.0
20140119,Samsung Galaxy S3 (m0),0.0,5.0
20140119,Samsung Galaxy S4 (ja3g),0.0,5.0
20140119,HTC HTC One X (endeavoru),0.0,5.0
20140119,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140119,C1904,0.0,5.0
20140118,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140118,Google Nexus 4 (mako),0.0,5.0
20140118,HTC HTC One (m7),0.0,5.0
20140118,Samsung Galaxy S3 (m0),0.0,5.0
20140118,Samsung Galaxy S4 (ja3g),0.0,5.0
20140118,HTC HTC One X (endeavoru),0.0,5.0
20140118,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140118,C1904,0.0,5.0
20140117,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140117,Google Nexus 4 (mako),5.0,5.0
20140117,HTC HTC One (m7),0.0,5.0
20140117,Samsung Galaxy S3 (m0),0.0,5.0
20140117,Samsung Galaxy S4 (ja3g),0.0,5.0
20140117,HTC HTC One X (endeavoru),0.0,5.0
20140117,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140117,C1904,0.0,5.0
